city,lat,lng,population,country
Pozzuoli,40.8444,14.0933,76331,Italy
Cinisello Balsamo,45.55,9.2167,74528,Italy
Casoria,40.9,14.3,74021,Italy
Caserta,41.0667,14.3333,72805,Italy
L’Aquila,42.35,13.4,69558,Italy
Acilia,41.7833,12.3667,66932,Italy
Calimera,40.25,18.2833,66777,Italy
Potenza,40.6333,15.8,64406,Italy
Castellammare di Stabia,40.6947,14.4803,62772,Italy
Afragola,40.9167,14.3167,61712,Italy
Viareggio,43.8667,10.2333,60579,Italy
Legnano,45.5781,8.9183,59941,Italy
Anzio,41.4472,12.6283,58949,Italy
Marano di Napoli,40.9,14.1833,57777,Italy
Bagheria,38.0803,13.5086,52928,Italy
Gallarate,45.6667,8.8,52811,Italy
Portici,40.8197,14.3411,52054,Italy
Pordenone,45.95,12.65,51725,Italy
Cava de’ Tirreni,40.7,14.7,50539,Italy
Acireale,37.6167,15.1667,50515,Italy
Rho,45.5311,9.0406,50299,Italy
Giugliano in Campania,40.9333,14.2,123679,Italy
Monza,45.5836,9.2736,121799,Italy
Sassari,40.725,8.5586,121021,Italy
Bergamo,45.695,9.67,119534,Italy
Pescara,42.4639,14.2142,118657,Italy
Trento,46.0667,11.1167,118046,Italy
Forlì,44.2333,12.05,116440,Italy
Siracusa,37.0692,15.2875,116244,Italy
Vicenza,45.55,11.55,109823,Italy
Terni,42.5619,12.6414,106370,Italy
Bolzano,46.5,11.35,106107,Italy
Roncaglia,45.0478,9.7006,103607,Italy
Piacenza,45.0478,9.7006,102465,Italy
Novara,45.45,8.62,101257,Italy
Ancona,43.6169,13.5167,98356,Italy
Udine,46.0667,13.2333,97808,Italy
Mestre,45.4906,12.2381,89376,Italy
Catanzaro,38.9,16.6,84670,Italy
Treviso,45.6667,12.25,84607,Italy
Como,45.8167,9.0833,83184,Italy
Busto Arsizio,45.6119,8.85,82951,Italy
Torre del Greco,40.7833,14.3667,80508,Italy
Sesto San Giovanni,45.5333,9.2333,78884,Italy
Varese,45.8167,8.8333,78409,Italy
Venice,45.4375,12.3358,250369,Italy
Messina,38.1936,15.5542,218786,Italy
Padova,45.4167,11.8667,206496,Italy
Cosenza,39.3,16.25,200257,Italy
Trieste,45.6503,13.7703,198417,Italy
Parma,44.8015,10.328,196764,Italy
Brescia,45.5417,10.2167,196446,Italy
Prato,43.88,11.0983,195736,Italy
Taranto,40.4711,17.2431,188098,Italy
Modena,44.6469,10.9256,184153,Italy
Reggio di Calabria,38.1114,15.6619,170951,Italy
Reggio Emilia,44.7,10.6333,169545,Italy
Perugia,43.1122,12.3889,161748,Italy
